127.0.0.1 - - [03/Dec/2015:15:16:33 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Dec/2015:15:16:34 +0100] "GET /03_MovieLine/index.jsp HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [03/Dec/2015:15:16:34 +0100] "GET /03_MovieLine/res/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [03/Dec/2015:15:16:34 +0100] "GET /03_MovieLine/res/css/bootstrap.min.css HTTP/1.1" 200 114011
0:0:0:0:0:0:0:1 - - [03/Dec/2015:15:16:34 +0100] "GET /03_MovieLine/res/js/jquery-ui.min.js HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [03/Dec/2015:15:16:41 +0100] "GET /03_MovieLine/index.jsp HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [03/Dec/2015:15:16:41 +0100] "GET /03_MovieLine/res/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [03/Dec/2015:15:16:41 +0100] "GET /03_MovieLine/res/css/bootstrap.min.css HTTP/1.1" 200 114011
0:0:0:0:0:0:0:1 - - [03/Dec/2015:15:16:41 +0100] "GET /03_MovieLine/res/js/jquery-ui.min.js HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [03/Dec/2015:15:16:41 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Dec/2015:15:16:41 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Dec/2015:15:16:41 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 991
